TICK  389 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  390 - RF1<-SP | RF1=404/0x194
TICK  391 - RM1<-memD[194] | RM1=1/0x1
TICK  392 - RM1<-memD[195] | RM1=1/0x1
TICK  393 - RM1<-memD[196] | RM1=1/0x1
TICK  394 - RM1<-memD[197] | RM1=   1/0x1
TICK  395 - SP=SP+4 | SP=404/0x194
TICK  396 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  397 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  398 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  399 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  400 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
------------Entering Interruption 0, value=1/0x1------------
TICK  401 @ 0x62A00000 -  IN Digit; PC++ | PC=177/0xB1
TICK  402 - RInData <- 0 digit (1/0x1) | RInData=1/0x1
TICK  403 @ 0x04E10000 -  MOV MvRegMem; PC++ | PC=178/0xB2
TICK  404 - RF1<-memI[0xB2]; PC++ 
TICK  405 - memD[0x94]<-RInData | memD[0x94]=0x1
TICK  406 - memD[0x95]<-RInData | memD[0x95]=0x0
TICK  407 - memD[0x96]<-RInData | memD[0x96]=0x0
TICK  408 - memD[0x97]<-RInData | memD[0x97]=0x0
TICK  409 @ 0x04C20000 -  MOV MvMemReg; PC++ | PC=180/0xB4
TICK  410 - RF1<-memI[180], PC++ | RF1=112/0x70
TICK  411 - RM1<-memD[70] | RM1=1/0x1
TICK  412 - RM1<-memD[71] | RM1=1/0x1
TICK  413 - RM1<-memD[72] | RM1=1/0x1
TICK  414 - RM1<-memD[73] | RM1=   1/0x1
TICK  416 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=182/0xB6
TICK  417 - SP=SP-4 | SP=404/0x194
TICK  418 - RF1=SP | SP=404/0x194
TICK  419 - memD[0x194]<-RM1 | memD[0x194]=0x1
TICK  420 - memD[0x195]<-RM1 | memD[0x195]=0x0
TICK  421 - memD[0x196]<-RM1 | memD[0x196]=0x0
TICK  422 - memD[0x197]<-RM1 | memD[0x197]=0x0
TICK  423 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=183/0xB7
TICK  424 - RM2<-#0; PC++ | SP=404/0x194
TICK  425 @ 0x0F820000 -  POP SingleReg; PC++ | PC=185/0xB9
TICK  426 - RF1<-SP | RF1=404/0x194
TICK  427 - RM1<-memD[194] | RM1=1/0x1
TICK  428 - RM1<-memD[195] | RM1=1/0x1
TICK  429 - RM1<-memD[196] | RM1=1/0x1
TICK  430 - RM1<-memD[197] | RM1=   1/0x1
TICK  431 - SP=SP+4 | SP=404/0x194
TICK  432 @ 0x51C02400 -  CMP RegReg; PC++ | PC=186/0xBA
TICK  433 - CMP RM1, RM2 | N=0,Z=0,V=0,C=0; RM1=1/0x1 RM2=0/0x0
