TICK  303 - RF1=SP | SP=264/0x108
TICK  304 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK  305 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK  306 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK  307 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK  308 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  309 - RM2<-#1; PC++ | SP=264/0x108
TICK  310 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  311 - RF1<-SP | RF1=264/0x108
TICK  312 - RM1<-memD[108] | RM1=1/0x1
TICK  313 - RM1<-memD[109] | RM1=1/0x1
TICK  314 - RM1<-memD[10A] | RM1=1/0x1
TICK  315 - RM1<-memD[10B] | RM1=   1/0x1
TICK  316 - SP=SP+4 | SP=264/0x108
TICK  317 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  318 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  319 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  320 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  321 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  322 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  323 - PC<-memI[0x2]| PC=2/0x2
TICK  324 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK  325 - RM1<-#1; PC++ | SP=268/0x10C
TICK  326 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  327 - SP=SP-4 | SP=264/0x108
TICK  328 - RF1=SP | SP=264/0x108
TICK  329 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK  330 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK  331 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK  332 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK  333 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  334 - RM2<-#1; PC++ | SP=264/0x108
TICK  335 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  336 - RF1<-SP | RF1=264/0x108
TICK  337 - RM1<-memD[108] | RM1=1/0x1
TICK  338 - RM1<-memD[109] | RM1=1/0x1
TICK  339 - RM1<-memD[10A] | RM1=1/0x1
TICK  340 - RM1<-memD[10B] | RM1=   1/0x1
TICK  341 - SP=SP+4 | SP=264/0x108
TICK  342 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  343 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  344 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  345 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  346 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  347 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  348 - PC<-memI[0x2]| PC=2/0x2
TICK  349 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK  350 - RM1<-#1; PC++ | SP=268/0x10C
TICK  351 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  352 - SP=SP-4 | SP=264/0x108
TICK  353 - RF1=SP | SP=264/0x108
TICK  354 - memD[0x108]<-RM1 | memD[0x108]=0x1
TICK  355 - memD[0x109]<-RM1 | memD[0x109]=0x0
TICK  356 - memD[0x10A]<-RM1 | memD[0x10A]=0x0
TICK  357 - memD[0x10B]<-RM1 | memD[0x10B]=0x0
TICK  358 @ 0x04240000 -  MOV MvImmReg; PC++ | PC=6/0x6
TICK  359 - RM2<-#1; PC++ | SP=264/0x108
TICK  360 @ 0x0F820000 -  POP SingleReg; PC++ | PC=8/0x8
TICK  361 - RF1<-SP | RF1=264/0x108
TICK  362 - RM1<-memD[108] | RM1=1/0x1
TICK  363 - RM1<-memD[109] | RM1=1/0x1
TICK  364 - RM1<-memD[10A] | RM1=1/0x1
TICK  365 - RM1<-memD[10B] | RM1=   1/0x1
TICK  366 - SP=SP+4 | SP=264/0x108
TICK  367 @ 0x51C02400 -  CMP RegReg; PC++ | PC=9/0x9
TICK  368 - CMP RM1, RM2 | N=0,Z=1,V=0,C=0; RM1=1/0x1 RM2=1/0x1
TICK  369 @ 0xC7000000 -  JNE JAbsAddr; PC++ | PC=10/0xA
TICK  370 - RF2<-memI[0xA]; PC++ | RF2=13/0xD
TICK  371 - JNE not taken | PC=11/0xB; N=0,Z=1,V=0,C=0
TICK  372 @ 0x83000000 -  JMP JAbsAddr; PC++ | PC=12/0xC
TICK  373 - PC<-memI[0x2]| PC=2/0x2
TICK  374 @ 0x04220000 -  MOV MvImmReg; PC++ | PC=3/0x3
TICK  375 - RM1<-#1; PC++ | SP=268/0x10C
TICK  376 @ 0x0B802000 -  PUSH SingleReg; PC++ | PC=5/0x5
TICK  377 - SP=SP-4 | SP=264/0x108
